ind,dif_mediana,max_abs,pct_iguales
autocontencion_laboral,0.0,0.0,100.0
brecha_alfabetismo,0.0,0.0,100.0
brecha_anios_estudio,0.0,0.0,100.0
brecha_edu_superior,0.0,0.0,100.0
brecha_participacion,0.0,0.0,100.0
dep_juvenil,0.0,0.0,100.0
dep_senil,0.0,0.0,100.0
dependencia_capital,0.0,0.0,100.0
edad_1er_hijo,0.0,0.0,100.0
edad_mediana,0.0,0.0,100.0
edad_prom_emigracion,0.0,0.0,100.0
edad_prom_fallecimiento,0.0,0.0,100.0
edad_promedio,0.0,0.0,100.0
emigrantes_x1000,0.0,0.0,100.0
indice_envejecimiento,0.0,0.0,100.0
indice_juventud,0.0,0.0,100.0
indice_masculinidad,0.0,0.0,100.0
paridez_media,0.0,0.0,100.0
pct_0_14,0.0,0.0,100.0
pct_0_4,0.0,0.0,100.0
pct_15_29,0.0,0.0,100.0
pct_15_64,0.0,0.0,100.0
pct_60_mas,0.0,0.0,100.0
pct_65_mas,0.0,0.0,100.0
pct_80_mas,0.0,0.0,100.0
pct_admin_publica,0.0,0.0,100.0
pct_agricultura,0.0,0.0,100.0
pct_agua_caneria,0.0,0.0,100.0
pct_agua_carro,0.0,0.0,100.0
pct_agua_interior,0.0,0.0,100.0
pct_agua_lluvia,0.0,0.0,100.0
pct_agua_lote,0.0,0.0,100.0
pct_agua_mejorada,0.0,0.0,100.0
pct_agua_no_mejorada,0.0,0.0,100.0
pct_agua_pileta,0.0,0.0,100.0
pct_agua_pozo,0.0,0.0,100.0
pct_agua_pozo_bomba,0.0,0.0,100.0
pct_agua_rio,0.0,0.0,100.0
pct_agua_sin_caneria,0.0,0.0,100.0
pct_aire_acond,0.0,0.0,100.0
pct_alcantarillado,0.0,0.0,100.0
pct_alojamiento,0.0,0.0,100.0
pct_alquiler,0.0,0.0,100.0
pct_am_solo,0.0,0.0,100.0
pct_analfabetismo,0.0,0.0,100.0
pct_analfabetismo_mujeres,0.0,0.0,100.0
pct_asalariados,0.0,0.0,100.0
pct_asistencia_escolar,0.0,0.0,100.0
pct_auto,0.0,0.0,100.0
pct_autoident_indigena,0.0,0.0,100.0
pct_automedicacion,0.0,0.0,100.0
pct_aymara,0.0,0.0,100.0
pct_basura_carro,0.0,0.0,100.0
pct_basura_contenedor,0.0,0.0,100.0
pct_basura_entierra,0.0,0.0,100.0
pct_basura_formal,0.0,0.0,100.0
pct_basura_informal,0.0,0.0,100.0
pct_basura_quema,0.0,0.0,100.0
pct_bicicleta,0.0,0.0,100.0
pct_bilingue,0.0,0.0,100.0
pct_bote,0.0,0.0,100.0
pct_caja_salud,0.0,0.0,100.0
pct_camara_septica,0.0,0.0,100.0
pct_carreta,0.0,0.0,100.0
pct_cedula_identidad,0.0,0.0,100.0
pct_celular,0.0,0.0,100.0
pct_chiquitano,0.0,0.0,100.0
pct_choza,0.0,0.0,100.0
pct_cocina_exclusiva,0.0,0.0,100.0
pct_combustible_limpio,0.0,0.0,100.0
pct_combustible_solido,0.0,0.0,100.0
pct_comercio,0.0,0.0,100.0
pct_computadora,0.0,0.0,100.0
pct_con_emigrante,0.0,0.0,100.0
pct_construccion,0.0,0.0,100.0
pct_cuenta_propia,0.0,0.0,100.0
pct_departamento,0.0,0.0,100.0
pct_desague_superficie,0.0,0.0,100.0
pct_disc_caminar,0.0,0.0,100.0
pct_disc_cognitiva,0.0,0.0,100.0
pct_disc_oir,0.0,0.0,100.0
pct_disc_ver,0.0,0.0,100.0
pct_discapacidad,0.0,0.0,100.0
pct_edu_primaria,0.0,0.0,100.0
pct_edu_secundaria,0.0,0.0,100.0
pct_edu_superior,0.0,0.0,100.0
pct_educacion_publica,0.0,0.0,100.0
pct_elec_red,0.0,0.0,100.0
pct_electricidad,0.0,0.0,100.0
pct_emi_argentina,0.0,0.0,100.0
pct_emi_brasil,0.0,0.0,100.0
pct_emi_chile,0.0,0.0,100.0
pct_emi_eeuu,0.0,0.0,100.0
pct_emi_espana,0.0,0.0,100.0
pct_empleadores,0.0,0.0,100.0
pct_gas_garrafa,0.0,0.0,100.0
pct_gas_natural,0.0,0.0,100.0
pct_guarani,0.0,0.0,100.0
pct_hacinamiento,0.0,0.0,100.0
pct_hijos_fallecidos,0.0,0.0,100.0
pct_hogar_compuesto,0.0,0.0,100.0
pct_hogar_con_am,0.0,0.0,100.0
pct_hogar_con_menores,0.0,0.0,100.0
pct_hogar_extendido,0.0,0.0,100.0
pct_hogar_fallecido,0.0,0.0,100.0
pct_hogar_monoparental,0.0,0.0,100.0
pct_hogar_nuclear,0.0,0.0,100.0
pct_hogar_unipersonal,0.0,0.0,100.0
pct_idioma_materno_castellano,0.0,0.0,100.0
pct_idioma_materno_originario,0.0,0.0,100.0
pct_internet,0.0,0.0,100.0
pct_internet_fijo,0.0,0.0,100.0
