ind,validado,viejo,nuevo,dif,max_abs
pct_registro_civil,False,99.4,99.3,-0.19999999999998863,1.9000000000000057
pct_analfabetismo_mujeres,False,8.0,8.2,0.10000000000000053,2.799999999999997
pct_disc_cognitiva,False,1.5,1.3,-0.10000000000000009,0.7000000000000002
pct_disc_oir,False,1.7,1.6,-0.10000000000000009,0.6000000000000005
pct_aire_acond,False,0.4,0.6,0.10000000000000003,7.700000000000003
pct_gas_natural,True,0.3,0.4,0.1,13.899999999999999
pct_nacido_extranjero,False,0.9,0.8,-0.09999999999999987,2.2
pct_analfabetismo,True,5.0,5.1,0.09999999999999964,1.3000000000000007
pct_discapacidad,False,5.1,5.1,0.09999999999999964,0.3000000000000007
edad_prom_fallecimiento,False,61.2,61.181,-0.015000000000000568,1.125
edad_1er_hijo,False,21.0,21.009,-0.009000000000000341,0.13800000000000168
emigrantes_x1000,False,36.9,36.917,-0.002000000000000668,0.05000000000000071
pct_urbano,False,14.0,13.3,0.0,9.199999999999989
pct_guarani,False,0.0,0.0,0.0,3.1000000000000014
edad_prom_emigracion,False,24.1,24.134,0.0,0.05000000000000071
pct_departamento,True,0.3,0.4,0.0,2.700000000000003
