cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,_den_edad_prom_fallecimiento,emigrantes_x1000,tasa_mortalidad
010101,13154,26.617578307620384,51.15554204044397,13154,5.08590542800669,13154,8.757792306522731,13154,25.216664132583244,13154,1.4976433024175155,13154,13154,3314.0,58.67796610169491,3314.0,50.278646291214045,
010102,1029,24.938247011952193,74.53838678328474,1029,0.7774538386783285,1029,4.373177842565598,1029,15.937803692905733,1029,0.38872691933916426,1029,1029,182.0,59.13559322033898,182.0,108.76228728464221,
010103,339,23.87460815047022,69.32153392330383,339,7.669616519174041,339,6.784660766961652,339,10.619469026548673,339,0.0,339,339,224.0,47.32804232804233,224.0,20.50568594241471,
010201,196,23.105263157894736,65.81632653061224,196,14.795918367346939,196,2.0408163265306123,196,11.73469387755102,196,0.0,196,196,113.0,55.650485436893206,113.0,18.400300413067967,
010202,358,23.25284090909091,69.27374301675978,358,8.938547486033519,358,5.027932960893855,358,10.893854748603353,358,0.0,358,358,189.0,50.78735632183908,189.0,25.103428932052452,
010301,384,24.116094986807386,68.75,384,6.25,384,3.6458333333333335,384,14.84375,384,0.0,384,384,151.0,55.75187969924812,151.0,33.79686674881183,
010302,157,23.181818181818183,45.22292993630573,157,24.840764331210192,157,7.643312101910828,157,12.738853503184714,157,0.0,157,157,164.0,44.13380281690141,164.0,12.676624949535729,
010303,404,22.77329974811083,60.396039603960396,404,17.821782178217823,404,4.207920792079208,404,12.128712871287128,404,0.7425742574257426,404,404,103.0,54.81,103.0,50.07436787307883,
010304,506,22.97983870967742,72.92490118577075,506,6.719367588932807,506,4.743083003952569,506,14.229249011857707,506,0.0,506,506,83.0,63.026666666666664,83.0,65.08875739644971,
010401,378,24.00268096514745,60.317460317460316,378,6.878306878306878,378,8.465608465608465,378,20.8994708994709,378,0.26455026455026454,378,378,117.0,59.95652173913044,117.0,36.40566310314938,
010402,502,22.051440329218106,54.9800796812749,502,32.669322709163346,502,1.593625498007968,502,8.764940239043824,502,0.0,502,502,110.0,53.92307692307692,110.0,59.10054155874735,
010403,189,24.47752808988764,58.2010582010582,189,6.349206349206349,189,7.936507936507937,189,20.105820105820104,189,0.5291005291005291,189,189,89.0,55.074074074074076,89.0,25.847921225382933,
010404,67,23.20967741935484,58.208955223880594,67,4.477611940298507,67,1.492537313432836,67,23.880597014925375,67,0.0,67,67,45.0,65.60975609756098,45.0,13.667890656874745,
010405,132,22.8,62.121212121212125,132,6.0606060606060606,132,5.303030303030303,132,21.96969696969697,132,0.7575757575757576,132,132,53.0,52.38461538461539,53.0,29.56326987681971,
010501,779,25.072655217965654,48.90885750962773,779,6.161745827984595,779,6.93196405648267,779,29.781771501925547,779,0.5134788189987163,779,779,239.0,56.242290748898675,239.0,32.05365592725178,
010502,226,25.154545454545456,55.309734513274336,226,1.7699115044247788,226,3.982300884955752,226,31.41592920353982,226,3.0973451327433628,226,226,93.0,52.264367816091955,93.0,27.069110073062642,
010601,936,23.156424581005588,70.51282051282051,936,8.012820512820513,936,3.6324786324786325,936,13.568376068376068,936,0.10683760683760683,936,936,205.0,55.216931216931215,205.0,55.240793201133144,
010602,881,23.960280373831775,75.14188422247446,881,3.1782065834279227,881,2.9511918274687856,881,12.599318955732123,881,0.0,881,881,146.0,59.884892086330936,146.0,87.13282563544654,
