cod_ine,poblacion_nbi,pct_nbi_no_pobre,pct_nbi_satisfechas,pct_nbi_umbral,pct_nbi_pobre,pct_nbi_moderada,pct_nbi_indigente,pct_nbi_marginal,pct_nbi_materiales,pct_nbi_espacios,pct_nbi_agua_sanea,pct_nbi_energia,pct_nbi_educacion,pct_nbi_salud
010101,286321.0,83.82375026630949,46.04517307497529,37.7785771913342,16.176249733690508,14.395381407581002,1.7448947160704245,0.03597361003908201,7.381924483359586,60.21458433017487,13.946933686317106,5.695006653371565,25.52938834385183,13.916198951526434
010102,8800.0,66.51136363636364,20.011363636363637,46.5,33.48863636363637,30.863636363636363,2.590909090909091,0.03409090909090909,14.375,62.46590909090909,32.04545454545455,26.931818181818183,51.93181818181818,8.340909090909092
010103,13057.0,11.802098491230758,2.1750785019529753,9.627019989277782,88.19790150876925,60.38906333767328,26.7825687370759,1.0262694340200658,58.972198820556024,76.20433483954967,86.34448954583748,91.575400168492,76.82469173623343,19.928007965076205
010201,7469.0,28.30365510777882,9.907618155040835,18.396036952737983,71.69634489222118,48.774936403802386,22.452804927031732,0.46860356138706655,54.23751506225733,62.417994376757264,66.47476235105101,79.83665818717365,74.97656982193065,13.321729816575177
010202,16206.0,30.278909046032332,6.022460816981365,24.256448229050967,69.72109095396766,53.171664815500435,16.395162285573246,0.1542638528939899,60.52696532148587,72.23250647908182,63.069233617178824,68.53634456374182,69.6840676292731,8.262371961002097
010301,13250.0,40.4377358490566,8.075471698113208,32.362264150943396,59.5622641509434,53.12452830188679,6.437735849056604,0.0,40.113207547169814,73.90943396226415,55.76603773584905,63.577358490566034,65.81132075471699,7.667924528301887
010302,12064.0,30.55371352785146,4.708222811671088,25.84549071618037,69.44628647214854,53.57261273209549,15.34316976127321,0.5305039787798409,54.16114058355438,73.69031830238727,59.640251989389924,68.94893899204244,71.12897877984085,13.12997347480106
010303,8934.0,45.93687038280725,7.846429370942467,38.09044101186478,54.06312961719275,49.29482874412357,4.768300873069174,0.0,42.06402507275576,63.566151779717934,50.5820461159615,51.84687709872398,57.84642937094247,7.7233042310275355
010304,8832.0,38.79076086956522,6.148097826086956,32.64266304347826,61.20923913043478,50.83786231884058,9.986413043478262,0.384963768115942,43.093297101449274,57.17844202898551,46.897644927536234,74.70561594202898,72.14673913043478,12.092391304347826
010401,8931.0,50.498264472063596,17.17612809315866,33.322136378904936,49.501735527936404,44.03762176687941,5.41932594334341,0.0447878177135819,36.61404098085321,51.9874594110402,44.54148471615721,50.509461426491995,64.77438136826783,7.076475198745941
010402,8336.0,44.0858925143954,8.217370441458733,35.86852207293666,55.9141074856046,53.16698656429942,2.7231285988483687,0.02399232245681382,40.46305182341651,59.728886756238005,39.839251439539346,67.44241842610364,71.40115163147793,6.849808061420346
010403,6742.0,35.16760605161673,13.512310886977158,21.655295164639572,64.83239394838327,53.75259566894097,10.93147433995847,0.14832393948383268,50.830614061109465,56.27410264016612,57.66834767131415,68.48116285968555,75.73420350044498,8.513794126371996
010404,3649.0,58.15291860783776,24.746505892025212,33.40641271581255,41.84708139216224,38.94217593861332,2.9049054535489174,0.0,39.51767607563716,55.522060838585915,38.72293779117567,56.56344203891477,53.220060290490544,3.836667580158948
010405,5601.0,37.97536154258168,9.623281556864846,28.352079985716838,62.02463845741832,55.811462238885916,6.016782717371898,0.19639350116050705,37.5290126763078,73.77254061774683,52.312087127298696,76.62917336189966,58.703802892340654,4.33851098018211
010501,23551.0,64.00152859751178,20.01613519595771,43.98539340155408,35.998471402488214,32.26189970701881,3.672880132478451,0.0636915629909558,20.882340452634708,64.31574030826717,27.24725064753089,32.813893252940424,49.61997367415396,6.793766719035285
010502,6626.0,46.13643223664353,16.97856927256263,29.157862964080895,53.86356776335647,48.958647751282825,4.874735888922427,0.03018412315122246,43.63115001509206,64.62420766676728,50.72441895562934,60.65499547238153,55.372773920917595,6.534862662239662
010601,12660.0,38.54660347551343,7.472353870458136,31.074249605055293,61.45339652448657,51.83254344391785,9.304897314375987,0.315955766192733,43.53870458135861,47.40916271721959,52.480252764612956,55.6477093206951,75.4739336492891,24.541864139020536
010602,8013.0,43.42942718083115,9.284912017970797,34.14451516286035,56.57057281916885,48.55859228753276,7.849744165730687,0.16223636590540372,36.44078372644453,58.28029452140272,53.650318232871584,47.722451017097214,69.53700237114688,13.515537251965556
010701,13966.0,55.8141200057282,19.59759415723901,36.21652584848919,44.1858799942718,38.693971072604896,5.327223256480023,0.16468566518688244,35.371616783617355,56.20077330660175,40.233424029786626,40.07589861091221,51.93326650436775,10.310754689961335
